mz	time	VT_120305_122	VT_120229_074	VT_120302_068	VT_120307_026	VT_120218_092	VT_120218_020	VT_120305_074	VT_120229_020	VT_120305_086	VT_120306_032	VT_120306_110	VT_120307_098	VT_120222_116	VT_120217_020	VT_120229_122	VT_120302_020	VT_120301_020	VT_120217_110	VT_120229_128	VT_120301_056	VT_120306_020	VT_120306_086	VT_120218_104	VT_120229_068	VT_120218_014	VT_120218_044	VT_120218_110	VT_120218_122	VT_120302_098	VT_120305_080	VT_120217_068	VT_120306_014	VT_120305_026	VT_120305_032	VT_120217_014	VT_120217_104	VT_120302_044	VT_120222_080	VT_120222_098	VT_120218_098	VT_120306_026	VT_120217_026	VT_120222_008	VT_120217_044	VT_120306_008	VT_120301_050	VT_120307_056	VT_120217_086	VT_120305_008	VT_120229_044
329.2300673	498	60772	15829	170249	112491	100972	108435	42455	105281	250348	209020	165722	71792	121099	135408	34851	128935	74747	86793	34215	71424	182483	115029	94083	74181	92027	79626	124076	113553	33599	33795	78896	157663	111602	91330	105192	34935	201505	63953	74535	119202	219684	198657	51130	81902	 	76583	96773	98362	95406	133608
329.2464448	299	96977	48958	163537	385972	426532	272586	93876	55984	80889	262831	117538	18123	232552	 	4489	109919	20806	82156	134904	247555	140173	220887	194899	280739	79236	50875	160191	69756	15455	187883	143857	6975	 	102689	317742	125949	141979	77011	106469	129432	 	93958	 	232200	8715	341833	254117	78672	84535	172637
329.2666141	379	 	37786	40383	205563	20649	27991	144299	35954	26437	15427	57140	37319	21034	50483	45428	36833	27507	61112	41118	23910	154567	37153	35564	40852	84494	30257	11076	35310	59768	32431	17953	 	28786	25499	30774	20149	95094	69690	32834	59041	45327	74846	 	57570	90294	33476	28304	36990	33292	52472
329.3222614	561	38704	8385	21477	21994	22760	22747	7361	39064	46303	108414	5539	15494	17767	25167	8392	20901	11117	60347	29332	11929	178509	5561	5404	7939	22306	7795	10508	 	507	6045	57818	34099	12658	6347	64009	3981	11146	25503	21566	11597	2720	20939	10080	8608	 	13255	12390	80007	44353	11675
329.9966213	46	9142	69465	34272	52701	37928	40831	142752	 	14216	180688	 	37608	81981	29042	73902	33988	58212	61348	211954	29570	69387	14681	126078	32523	40551	117886	106403	25842	 	16601	20700	213291	151362	 	101100	36311	29516	66109	48285	 	32838	22551	 	33781	100790	72976	56382	26298	2179	30302
330.0065805	262	36858	58656	121643	54632	54577	50780	36765	79631	44021	58747	63591	67038	60903	49123	81645	37285	69823	37482	15701	39389	23224	48748	42199	55632	27383	26142	58390	55000	34829	 	95304	39428	101975	39254	25722	46397	53893	29457	36112	35882	 	46332	75347	48269	35338	48033	48250	32927	34697	70971
330.0396902	407	57678	104760	 	37036	 	70653	56791	77067	65813	51721	105415	95591	54300	 	229954	42008	196160	 	36131	147410	49462	 	80787	11591	68475	 	 	69404	53091	 	 	54303	 	55212	 	 	37341	44669	60055	73653	53740	61862	 	 	 	83500	67305	56362	58201	30508
330.2327229	512	 	 	66965	14129	33854	 	 	13675	 	 	20250	43175	 	26964	 	32460	10302	958	5053	9625	 	21302	88375	28407	4492	1842	18891	17510	11936	11904	6784	19920	 	 	 	4016	16265	4017	33478	7273	 	15026	38643	 	10553	10195	14887	14976	 	53848
330.2453851	298	67556	16327	46538	58065	95993	40411	137716	60258	75553	54080	105975	84779	90136	14729	12920	3162	34317	84390	20263	 	96439	24560	34729	85867	84422	35809	59389	59617	93836	48045	74329	73192	 	14962	107215	44445	62793	85757	48868	39369	92267	58469	 	34914	39495	107313	83915	36905	53499	99228
330.2615853	356	7354	24581	75510	120941	 	59720	70985	 	 	 	68857	49556	 	22318	62348	 	 	 	48346	164882	 	68027	172554	114856	73938	26597	 	29305	75835	 	21603	 	 	55757	 	90975	149945	95067	62663	 	 	29386	 	 	45384	 	 	35353	 	70589
330.2770512	385	63268	48444	70270	106921	105901	74859	89987	131007	89099	70988	57205	71799	86855	63180	58796	51655	71797	168796	40384	62022	196403	60504	30022	63436	65318	36656	52633	36653	48485	39202	101216	70541	67628	58931	128649	44950	79612	79585	48648	80356	55344	69207	 	70795	54992	103314	47234	48634	80740	54973
330.7510396	57	531203	392020	438800	317657	405618	378742	291454	352480	528326	335202	335614	243426	335889	343989	486405	349039	367518	294571	264607	391391	514025	286137	465879	466546	378378	396811	376442	435219	373190	491047	338299	381210	246743	326698	206649	407387	269635	298510	361958	421110	515669	193076	 	331296	457535	316864	293926	482796	341700	403101
330.9998095	198	312891	236645	118579	289527	617080	369719	220706	204861	156653	176320	315975	455324	208213	453876	213012	466148	263090	358203	433006	282478	88471	588447	564043	170481	318851	294748	496771	56769	422567	248448	122470	161831	343217	311775	522738	500707	367845	260263	220086	405121	105043	522516	219413	155790	213431	570550	235607	469158	559685	200292
331.0511079	60	20742775	8120934	15232365	11568362	9373326	8141300	9023212	8872703	12999020	11317186	26993879	22412540	13978588	9819575	15987058	7173628	10397574	11687110	11247015	10931054	9812892	14953975	22238584	5234779	11060039	5379739	15066118	11423621	12551149	12964856	9373864	5596160	5265360	10773951	9914716	13586103	11427217	16107057	14150465	6382697	7905704	12043016	3601095	17501019	10146936	8470161	8488652	9776540	13718147	12375638
331.1281812	355	17854	16248	16419	38422	22981	60817	 	26699	14449	58585	18361	50976	24612	18972	12900	23705	22526	23126	20252	23814	43445	15452	27720	59836	32781	76184	25819	19209	57062	25030	24427	 	19219	19340	 	21304	28811	30224	27993	26162	8896	32211	 	20310	23294	81272	17839	81359	20064	26240
331.1880636	272	 	17381	303595	273206	307664	240044	53435	190910	 	60595	203218	 	73568	32343	594263	66147	 	86286	58144	 	40147	210377	32002	137190	63425	154398	90712	13502	41823	71264	 	 	 	39536	13901	 	110722	85204	135796	111593	95967	198605	 	212472	40985	97283	73522	157816	264984	101779
331.2244657	356	 	323763	544503	330351	1459922	322504	312377	1413977	430236	1548865	270005	59581	1133054	536659	1612875	553440	327835	982489	1088069	 	643250	85052	865030	224218	 	859801	1097596	 	179681	1077914	319375	1429203	273301	262100	963768	 	441755	423006	408100	1335116	 	446002	 	1104593	346883	960988	1220121	426399	2492131	 
331.2820232	546	109771	119835	145130	113642	114351	128777	108266	158615	108946	95575	135900	198270	164478	128560	117997	77994	190306	112584	132850	119805	81359	179655	125605	174935	237380	160692	123029	123054	212354	141346	138490	62067	139150	119430	183673	97425	209722	132929	174543	156708	85064	149782	 	143044	136056	118453	112010	142280	211443	179432
332.0548413	61	1885426	614981	1274093	1113859	719864	618340	726438	722402	1060166	917741	2370391	2263077	1132050	723577	1341289	507212	871419	921451	843015	874091	758210	1221759	1868853	409960	881524	382413	1278848	895445	1011429	1081525	771264	392806	361899	843556	898620	1161217	918759	1252401	1157466	472071	636305	907074	192119	1529929	804381	684913	743999	797453	1140897	1042839
332.136734	553	76693	41672	32326	48133	59382	8929	12937	87635	49073	53473	20920	27605	24006	62163	19053	76836	25412	 	23474	32924	49062	45181	76462	36920	42824	26002	 	31031	46240	 	29638	 	109504	52169	56586	40061	26457	19075	15846	31962	12840	88537	58234	32162	100209	26050	37871	27008	57347	53154
332.2277655	327	 	62460	147704	62658	399746	24306	 	346941	20245	551036	43093	42080	286862	157901	631264	87901	13977	172987	510943	33323	142209	 	250513	19507	 	208110	346496	 	21431	285471	40087	327562	 	 	284839	 	52989	62315	52322	374657	 	96957	 	385154	 	149043	528373	141376	704958	 
332.2911131	539	142712	147674	 	108470	113782	42857	58848	53111	215710	30434	175073	74736	19150	170385	108286	117137	36758	155591	187652	159337	50297	111486	109613	51187	78039	78476	144708	212842	172501	106133	102725	116197	91487	55310	127165	59203	154842	174884	19899	103099	65048	76931	77767	70419	92734	160064	81296	128308	151362	49939
332.3290035	368	976723	2165325	1587232	1576641	3356207	1415662	1621654	1595853	3058575	663657	2545132	1476802	2061426	1563915	1663871	489004	1606361	1277345	1802010	1708879	685175	2250370	1740520	1653309	976911	1072657	2407578	2224128	1732002	3052095	1403202	886532	1656033	1593815	2226919	1388078	4691636	1576835	2186484	2995047	455719	1953099	1403573	1894522	1168618	1609085	1480083	1269736	1575873	1633481
332.7483053	57	363364	222102	281261	267445	252984	285581	183571	325246	337807	215715	204958	120544	194421	230662	277652	244330	195618	174571	119051	223213	366373	159567	330691	311584	307401	218255	222475	251780	242139	292377	221028	273756	175208	205855	202024	249520	188665	192281	201780	296398	358265	95154	 	191305	298245	163705	184229	312876	216367	320509
332.946318	45	78456	107431	102291	87038	55061	136663	103530	86837	93446	57924	34638	119653	60567	112208	130550	35305	217686	64477	65670	111419	122426	100667	104069	150050	43906	44223	173134	68044	75190	150669	61822	73146	58707	245533	90469	250464	33330	64340	88709	52700	57926	78693	195101	113195	142679	100060	91770	61241	27817	81988
333.0497112	58	1341124	456045	937405	807142	511732	423372	505888	495761	736507	664302	1755155	1696515	893595	494268	886409	379510	594235	662484	648948	597902	611164	885419	1408206	270247	669802	289806	886472	622655	743697	710031	486160	275154	292185	615625	660388	841193	638416	960576	838454	309539	390715	631302	218039	1157898	601637	473390	488019	529845	824051	788151
333.1489998	366	167086	317382	145410	50482	208357	179736	57750	163964	171833	114890	137165	81690	113436	80516	63054	106950	100258	89631	114533	196905	152122	183898	99607	119383	144875	206713	96670	150280	126073	59307	99402	91630	160922	101825	149992	113695	108849	90443	175944	99066	68726	228687	 	173582	92940	140216	136211	126049	104742	117878
333.2400929	298	 	 	60793	38684	488629	136721	 	246761	8678	435074	11452	49289	210866	70266	560405	78428	26374	171892	282674	25793	131269	 	21925	2453	5819	379113	170468	 	 	56861	44567	390682	 	 	192510	5579	 	19602	6392	245461	 	70562	 	233349	 	114710	419730	79629	422917	 
333.2960973	278	138194	110160	105618	42195	26472	98349	 	92338	23601	24898	26392	85588	115610	 	93100	25156	78486	92906	21102	73157	32904	36725	61470	100454	57031	106841	30429	38166	73687	171101	52386	152805	30059	120542	43943	107262	47644	114018	48559	46585	25028	38609	12182	132635	94194	37817	51650	40203	43182	140972
333.3322064	366	344759	511904	387421	340624	653301	346100	544794	382134	596428	131030	558528	359085	373066	368732	346376	126863	363138	305321	328426	373290	142493	592019	398995	382966	320331	365825	608330	425601	389355	709357	319635	93257	237542	311242	468873	370558	1030232	354663	488612	567570	82708	437083	296021	382992	213012	362602	331337	297938	280397	377747
333.6549994	388	 	97493	 	77784	40068	40246	145639	72864	29325	277226	37847	 	13088	 	13655	44182	62718	 	 	111938	 	27431	68840	54161	52912	68575	43111	65898	 	 	41542	 	 	 	 	35266	25524	79834	87083	 	 	103510	 	114274	64292	52680	 	23212	 	62146
333.6843097	380	 	111526	50399	97482	 	65415	 	46254	 	67634	37468	88246	75449	68706	114994	81150	64250	171942	43736	130023	128255	105334	 	213706	163088	312632	67577	71297	22888	 	29670	 	 	 	251072	49603	47158	183682	31539	81781	 	112638	 	71343	53506	102940	170672	47553	 	36084
334.0530105	75	70225	2164	68753	121006	 	102592	23522	18227	62186	 	111817	159813	53661	16807	53590	6257	72627	66843	 	37476	 	47494	133971	55057	37807	35537	53785	52714	37812	53865	66621	16822	 	 	50349	44009	20201	73318	42702	17820	 	45801	 	68521	51919	61355	17867	272308	23235	84107
334.1574936	384	37069	159584	46512	21887	52451	52935	 	53760	51632	12176	40272	46638	20676	41090	14521	32114	57233	73618	11412	86265	174083	57975	14199	38243	52318	149732	56934	87095	108995	 	30799	 	42690	29241	16672	225401	36286	27778	95104	29039	36531	107484	 	72382	29771	 	26262	63425	29475	58437
334.2412712	291	14958	28125	74840	884	102943	 	19388	58287	 	41555	 	 	57126	 	129370	9295	3964	30684	85719	10226	39691	 	 	 	 	64797	25250	 	14613	32805	 	101248	30711	292357	49543	1216	 	 	 	28767	 	 	 	43475	14159	37942	115907	2194	76762	 
334.3356538	367	36717	42846	30787	21913	86796	70467	18182	57893	63723	 	35609	27139	55920	36537	16636	72706	103037	21148	111060	32699	 	68202	73037	41692	21658	46771	65934	38156	35517	123151	40568	 	47156	29442	43413	54128	161343	51837	97226	68622	 	73141	123508	98192	27490	52389	20799	45799	23761	35022
334.74519	55	122986	76800	142218	76209	77976	79374	143086	105273	118087	82175	69635	63906	90499	72906	96685	110575	151548	115170	58109	83658	83256	114571	158600	153156	130843	67095	103392	114610	65011	167767	82373	114881	40303	115144	269151	156799	61194	83060	169442	98854	144309	 	 	114712	105847	77927	100884	81841	101456	105507
334.9127994	47	194378	254237	208351	137823	222561	278149	107070	193267	184629	136031	389651	113863	282587	161605	254353	163365	125528	131682	290990	196600	199590	126630	373723	67484	188893	94055	147555	209203	274128	227991	173788	88921	115782	187127	183211	174469	113396	240449	168230	127236	130675	72599	 	233382	172613	205990	160720	175622	166802	143688
334.9432386	50	368878	466838	545755	263512	295070	462306	640914	423860	277202	768106	415745	539375	566325	370133	344172	375089	646660	528414	441900	406800	295196	301935	339337	297426	463002	339618	303265	341984	357237	381878	489846	415200	301190	393206	549258	362533	655733	323261	376956	225496	303481	376768	248832	390070	533430	389477	473846	449059	376714	592361
335.0169418	55	94683	478857	97142	361141	187765	170680	 	87265	125009	183199	331560	43127	136980	220342	62012	106441	107530	91488	246442	553339	247779	628933	171030	103130	159544	125739	285126	136108	418316	109182	196556	103248	163105	234159	537478	216576	248021	354505	487245	210824	124295	64500	 	140754	168379	317796	151320	176763	72237	244855
335.1233349	59	300793	398137	293835	271351	294975	404170	239671	442022	294286	241836	316327	249000	384265	379424	323093	300811	324953	316413	315343	254798	269132	272513	398858	299936	362953	226738	306105	390685	300357	373479	319685	279897	365502	289523	297585	270664	350448	305015	352595	291307	255439	274709	275068	371148	327098	354642	286189	288017	409842	359330
335.1643594	401	1378293	1499818	908649	1039920	1118045	1365587	1243404	1400606	1235925	1017264	1033018	1135708	1378738	1178707	1133113	1235714	1001264	1277462	990186	1397859	1302031	1440472	1458193	1283951	1345778	1497380	1248858	1154936	1200796	1271721	1422347	1654754	948861	731368	1123325	1173388	1133085	1230762	1694708	1029613	1158204	1003893	591521	1198071	896636	1290401	1548915	893795	1134820	1282665
335.2196343	273	 	7440	60199	5531	36188	34077	 	91479	 	93057	28152	253356	66537	 	53221	32102	64794	 	33756	66715	99555	248548	29472	22342	28241	32939	37354	45974	53583	209754	40187	 	 	 	44693	17248	48384	70141	42471	33235	22593	34654	91263	53154	4582	37885	76641	23581	81867	63807
335.2558196	357	36844	170867	76454	121984	126504	103329	 	102861	88207	64683	87613	36238	35484	44458	35137	31641	50693	59251	33105	101635	55915	94174	22826	59624	97302	124971	36147	90816	60053	177858	80962	 	80913	58921	92132	51782	35302	11774	73135	47254	48836	118050	 	105826	 	64273	60356	67113	53943	44448
336.0133123	48	116090	197342	124113	125995	146617	182007	152423	91320	162082	124484	66173	56941	138718	155426	202935	196250	193466	83570	109860	127741	171265	89019	133889	128241	214054	146854	112118	119911	68640	154341	69495	141659	150750	68745	160390	193867	102026	126108	122816	128583	160170	141610	 	102545	135916	156491	121352	107860	161115	126503
336.1668871	388	209586	294086	327124	171308	186354	266676	334792	256277	315456	183013	252902	236176	289886	231869	280001	273388	189916	278851	241355	328355	325699	272478	279138	277010	269733	381731	296092	226662	247298	231830	297444	331493	222043	258097	168371	221607	254430	299471	367901	251690	236470	240779	38295	260754	178094	263795	230676	256612	163909	317908
336.251055	349	 	 	6845	16481	 	63772	27300	54152	80354	 	104311	16241	41140	 	 	 	53373	 	28378	32878	 	46974	26559	54994	137818	26823	26729	39758	90749	 	 	 	 	19585	 	58385	24495	99658	16812	29047	 	 	 	 	 	52067	 	100953	 	84257
336.3087026	499	 	78627	42024	 	95992	66657	37309	87995	105201	35936	101768	95289	91628	28350	61137	94462	72549	41511	101406	63720	27889	92084	50990	107203	47689	8593	106131	64788	85246	24887	110514	28605	37468	54619	15917	40659	72174	69956	55689	20721	43039	90070	23328	23823	120467	27233	53173	48512	 	93332
336.9387555	57	225753	335977	314154	235945	219287	296319	432574	203583	239746	457387	325017	339144	383959	207303	214177	229515	447891	288894	201942	264537	134378	209797	197193	252707	270494	252615	172395	264078	209865	227576	304488	271733	142277	214231	320053	219485	307099	232117	294388	129405	232185	241535	 	213211	329124	263841	269762	292782	243099	365256
