"KEGGID","Statistic"
"C05853",0.324165553426616
"C07112",0.324165553426616
"C07213",0.324165553426616
"C14386",0.324165553426616
"C11348",0.324165553426616
"C13637",0.324165553426616
"C14385",0.324165553426616
"C07213",0.293184362229394
"C14386",0.293184362229394
"C07112",0.293184362229394
"C11348",0.293184362229394
"C05853",0.293184362229394
"C14582",0.293184362229394
"C06757",0.293184362229394
"C18585",0.293184362229394
"C13637",0.293184362229394
"C07216",0.293184362229394
"C14385",0.293184362229394
"C14401",0.365311143167774
"C19386",0.365311143167774
"C14401",0.88763107963961
"C19386",0.88763107963961
"C10164",0.061637475133793
"C06813",0.061637475133793
"C00253",0.061637475133793
"C07446",0.061637475133793
"C19326",0.571067504932666
"C19191",0.571067504932666
"C03167",0.171973659455987
"C15572",0.485000509758533
"C02923",0.485000509758533
"C03351",0.485000509758533
"C01502",0.485000509758533
"C17467",0.485000509758533
"C06730",0.485000509758533
"C00727",0.485000509758533
"C02323",0.485000509758533
"C03007",0.880352471885749
"C05827",0.880352471885749
"C00245",0.692125249607709
"C16671",0.722611259833847
"C14602",0.722611259833847
"C02854",0.722611259833847
"C18351",0.722611259833847
"C02441",0.722611259833847
"C14604",0.722611259833847
"C05127",0.780794885376841
"C17929",0.780794885376841
"C17928",0.780794885376841
"C20718",0.10122255856871
"C02752",0.10122255856871
"C02183",0.10122255856871
"C01108",0.10122255856871
"C11918",0.10122255856871
"C02814",0.10122255856871
"C11101",0.10122255856871
"C02835",0.973171397461346
"C00178",0.973171397461346
"C08737",0.389591726255326
"C04592",0.574190437276213
"C12101",0.574190437276213
"C12101",0.395178511496158
"C04592",0.395178511496158
"C07287",0.225500550579135
"C07287",0.659501620427848
"C14450",0.85840571617194
"C16621",0.382922944511419
"C05516",0.382922944511419
"C16621",0.76319831288967
"C05516",0.76319831288967
"C08268",0.496752190535117
"C08292",0.496752190535117
"C00450",0.496752190535117
"C04092",0.496752190535117
"C13694",0.496752190535117
"C10149",0.496752190535117
"C13694",0.728945267391071
"C08292",0.728945267391071
"C08268",0.728945267391071
"C00450",0.728945267391071
"C04092",0.728945267391071
"C10149",0.728945267391071
"C11519",0.201541339808687
"C11519",0.882460921876214
"C11149",0.497463836138337
"C00906",0.308341710420125
"C05717",0.308341710420125
"C05715",0.308341710420125
"C13714",0.539973796072299
"C11950",0.539973796072299
"C13717",0.539973796072299
"C10921",0.539973796072299
"C10976",0.539973796072299
"C09822",0.539973796072299
"C08487",0.539973796072299
"C05328",0.728669978598409
"C02837",0.728669978598409
"C19809",0.728669978598409
"C17145",0.672533506702678
"C14272",0.672533506702678
"C07288",0.672533506702678
"C01545",0.672533506702678
"C04282",0.768649962392384
"C01879",0.768649962392384
"C04281",0.768649962392384
"C01877",0.768649962392384
"C02237",0.768649962392384
"C00408",0.876175309915548
"C07500",0.876175309915548
"C13696",0.876175309915548
"C03969",0.876175309915548
"C05936",0.876175309915548
"C02722",0.378983537296827
"C02722",0.476172829464149
"C01740",0.652174821146281
"C14860",0.875088095863479
"C02714",0.589515055171806
"C19279",0.589515055171806
"C01157",0.829027570919438
"C01165",0.829027570919438
"C01015",0.829027570919438
"C01073",0.829027570919438
"C03651",0.829027570919438
"C05147",0.829027570919438
"C00430",0.829027570919438
"C03440",0.829027570919438
"C01110",0.829027570919438
"C03741",0.829027570919438
"C19706",0.829027570919438
"C03341",0.829027570919438
"C00300",0.886167615557602
"C03065",0.886167615557602
"C08313",0.691864872140752
"C02596",0.691864872140752
"C11074",0.251987943433284
"C01504",0.592142997735559
"C00903",0.592142997735559
"C07727",0.592142997735559
"C16592",0.592142997735559
"C00515",0.610568128045116
"C01602",0.610568128045116
"C00077",0.610568128045116
"C03943",0.610568128045116
"C14114",0.311062133356511
"C14411",0.311062133356511
"C14114",0.916932258661435
