Sample,CT22,CT23,CT24,CT48,CT5,CTH26,CTH28,CTH46,CTH47,CTH49
Label,Control,Control,Control,Control,Control,H1N1,H1N1,H1N1,H1N1,H1N1
95.06011552_337.623,36836.597,3488739.115,293584.321,1856744.25,1943363.427,13381.431,6655584.49,6317874.665,1229177.6,1422343.11
95.08324433_363.156,4259113.456,2887738.423,136524.938,46783.7936,33556.2482,1392992.591,468665.677,644912.6848,859836.4957,1578297.595
95.08525407_131.297,8765162.593,1151472.76,74762.415,929727.233,9695916.857,4282389.989,513516.769,6549562.919,298682.937,1143369.81
95.08525514_117.84,6388582.469,5437339.199,6914166.93,6969121.613,4819639.514,5454745.318,66399.996,5781529.824,848467.937,6233293.389
95.08525672_36.0685,3944618.662,2919794.567,2289287.716,13189618.37,7399974.753,499167.866,2379755.435,653118.968,575193.163,831714.981
95.54523683_307.864,1866956.57,3979127.395,56458.217,3356158.459,39727.571,7296842.215,128266.839,363289.776,5858753.6,229562.398
96.0440948_129.384,1867456.688,29581.5,1786876.44,266757.384,266139.915,1115716.525,896981.525,113883.794,119787.984,18916.933
96.51450483_120.4755,342725.293,28822.153,2533643.899,1649128.266,1653442.875,2137573.761,391213.466,1887636.33,1722558.13,1636235.922
97.0281546_198.121,565457.246,11478.348,347817.54,698267.3364,929844.1876,374982.558,55553.291,12138.195,232799.181,69914.1382
97.06454821_46.63775,2439248.138,2461331.617,413854.356,6243886.782,772431.661,5227661.422,2343754.511,7424526.655,13173338.22,666718.69
97.06454945_130.916,7933816.986,8988346.333,758246.514,12336784.58,1218875.24,1372872.63,11257223.65,86275.115,8835.8558,13237323.49
97.06455503_116.411,8436112.811,7116249.225,97993.86,8547555.928,9938419.355,732518.346,614525.753,7291978.55,1242255.93,682755.874
97.51409251_116.9305,54498779.8,568196.91,52681457.41,54329265.3,6673476.71,4572689.68,5791484.57,48215.69,56139688.1,48677354.86
97.51409197_26.9947,15174427.38,17442721.31,18896399.25,37751873.49,48285812.35,1173824.34,16412296.46,3817791.5,48693756.19,38185681.94
97.51409785_45.7942,18834534.95,27393652.81,4225789.51,5253777.37,6243669.48,4947943.67,22476324.86,8179676.51,848829.82,5548427.36
97.51409417_93.6175,13528742.26,1354819.16,12889598.92,2813871.35,2668581.32,11633821.28,136251.46,2177633.27,24571162.26,19913542.79
97.96852317_27.01835,817763.285,149284.831,288654.65,323616.166,49238.242,899747.496,8267523.48,3189529.119,138583.31,3691647.662
97.99107389_320.677,948415.71,831696.44,6382917.82,99788265.95,86314638.16,4513366.87,78289784.31,7258193.2,72555678.3,78281419.31
97.99106767_282.158,3988271.272,671849.517,371843.824,16238953.72,5387487.768,359686.784,6812987.552,2875895.61,6277912.531,11468229.4
97.99107607_483.292,287414.427,3855628.841,331747.66,356977.23,4637235.853,24411.379,3965772.59,348697.414,658177.767,739441.514
97.99107778_443.001,42116.195,469734.537,3897958.316,3579957.333,8612475.617,47824.368,3738758.146,6565173.61,756847.35,469274.48
97.99107727_419.458,647315.386,5669424.412,637422.826,947229.626,7712754.498,278338.923,34267.21,8857994.349,1958374.54,74238.598
97.99107127_359.0755,17245842.39,11397473.2,169972.11,2648127.95,156885.31,1799324.84,2793425.42,1885627.31,31426377.11,2971823.33
98.0133157_116.636,2819713.98,31235588.52,2346322.13,4118.53,38614.76,258727.46,3188337.25,41535494.88,236268.13,28419747.57
98.01330342_305.637,2733443.61,28173698.22,2265527.15,28652651.76,28896113.27,1771898.33,31946524.28,2826565.32,25283239.8,29162553.54
98.01336576_45.5196,358214.725,133286.637,3243398.87,19858459.8,11521437.8,3278291.67,131117.449,18949335.85,6371295.77,2444938.975
98.01333506_26.89,2563876.234,4361631.174,3174994.198,21313231.42,6758594.525,3498319.656,7268379.21,743194.921,13219956.89,1264881.4
98.01331647_2.64705,3334772.46,3353883.18,5152744.274,12525841.68,1767469.17,7411919.572,25274.429,79186.727,159481.49,1497866.96
98.01331428_93.9775,6819486.21,6751541.649,5612381.83,193294.67,13955713.5,6978497.413,5312948.742,975166.174,12261.28,88312.639
98.01574349_115.162,148898.2,695772.341,6427745.653,924275.491,991677.25,1744898.724,22597.321,931893.623,9754889.183,17729755.55
98.05735191_226.743,1993239.262,8278161.33,67224.2378,1365475.24,4258187.865,1613242.836,31589.3667,55742.123,216111.2678,14191.384
98.09615288_121.304,254382.68,1634495.515,1715627.437,1251493.292,1822877.38,1446134.263,121333.528,1943789.69,1794111.299,133622.771
98.09614668_217.996,816.4328,1124122.785,1217471.415,122426.66,1669926.75,641173.5894,41656.716,467977.2621,781858.3645,671598.1613
98.49347248_116.007,1423846.268,2632652.119,272763.238,343658.255,2448864.14,196875.814,2371114.213,2774286.59,292438.145,1469317.17
98.49344788_46.64405,95651373.35,163548.727,1664466.623,2399361.455,27747472.7,14114.966,1276539.276,165499.84,32852767.8,46216225.2
98.51172803_116.834,12759198,83234724.6,719817979.1,1123939,976245.8,9443246.2,849557151,9313861.9,971641357,963726766.7
98.51172816_45.9793,568328387.2,45233572.8,68732269,896267937.9,141248898,51536917.2,311453437.3,188764763,177156312,88684631.7
98.51170356_26.0408,1532757.4,14645292.7,29795626.6,7275412.9,67917856.5,197474995.8,212232696.9,357186886.4,612358.9,569474353
98.52996526_115.857,245291.815,244644.89,1976365.612,246319.359,2322351.44,2251545.86,33661.925,282796.642,2564771.578,262287.542
98.52996513_45.5196,12494.992,118178769.7,26123724.1,2413238.175,2335564.835,336883.574,1242253.92,3672599.317,318815.358,3489657.676
98.65750028_273.606,35594.8583,853671.6626,37382.427,292184.1259,43648.9319,52226.745,26784.6558,176545.1191,288918.4632,2616.9828
98.96108148_307.201,7917275.956,8235234.296,487851.986,798743.872,7399215.885,546726.211,9132.282,875698.762,7382898.148,799287.912
98.96551317_163.626,78797899.72,311992.8557,9817726.483,91253995.65,133783.4651,2372217.596,4129124.34,85527481.68,47916.3479,84537718.4
98.98389053_251.444,111457.11,186573.83,2144949.2,38759522.6,28323169.85,175927.1,8819936.217,13443193.54,1872395.16,2247928.67
98.9838871_276.342,4464312.113,585493.899,586798511.3,19395428.5,1612978.4,12983384.23,14676429.9,42288238.91,33438784.52,16296884.58
98.98388732_264.0055,122126.51,17355525.57,166977949.5,1921216.88,19424567.45,21674433.25,74654.536,1969392.35,2543495.42,1688737.82
98.98389075_234.645,966188.146,8552511.687,59157411.88,934172.899,153363.8,9325822.153,9113963.282,12841139.61,1356447.92,7163679.576
98.98388834_161.2595,7842982.6,17919877.8,4779459973,12261318.8,148638247.9,3165198.84,84185362.54,8938239.29,2278323.2,1928469.9
98.98389798_335.155,1197185.5,39216655.87,1393693.4,51814.36,41752285.52,22343546.61,32455889.15,373555.19,21795487.47,341247.23
98.98388914_350.1775,4963121.168,18561897.55,72914987.59,26926.56,1569634.59,2472662.51,12311894.95,27671912.53,1497719.95,24345673.25
98.98388065_129.385,4557513.432,266571.485,68181113.8,1217839.77,1153223.77,14164453.38,3659142.14,412157.279,9175316.176,11737436.4
98.98389659_42.037,412537.663,61296.6167,21193953.3,268871.767,3837232.23,868631.5616,6224.493,686238.5996,871343.3875,816269.49
98.98389081_178.999,111497779.5,74969165.9,94879554.7,87132267.16,9717346.6,737822719.4,3476985.84,7388414.72,13714229.5,6488199
98.98388865_203.543,454833.64,11973329.8,1615566543,3339721.39,4848787.18,25781238.2,3337655.88,6316727.4,4964161.76,32141943.2
98.98389509_299.224,9893429.93,3558324.411,8191766.43,815813.547,15257344.56,12661571.3,1165651.53,973.93,13427818.22,15523491.99
99.01172925_116.844,768899.99,17316143.84,7781.353,1295873.16,1148534.99,8865245.675,1113225.98,963478.29,1233233.45,157983.4
99.00225496_162.915,11587787.18,218595.8792,513736.954,4452944.53,54495819.76,2325555.688,11954834.24,96825981,493483.1952,7435637.39
99.01178534_45.7593,322493.21,56663.53,11798548.2,776274.769,1339166.12,1214818.31,313195.8,17665577.47,849847.793,8142954.353
99.0119995_26.6598,428464.747,3444865.863,19842.16,2581313.2,276859.63,8788131.248,176873.47,12163142,11961.21,941353.357
99.0094353_100.042,258329.435,2745961.368,325634.3,5826584.844,5552436.134,244271.648,2546388.622,443667.286,4587972.243,568924.124
99.01200826_2.22888,3228553.991,4859376.9,8225917.132,16859244.39,7787146.364,64712.695,,763855.853,5176294.492,1152277.54
99.01199503_260.286,11569112.1,112591.54,6448245.45,594697.775,5586584.584,71156.24,1653347.15,9288342.21,791968.349,8725376.577
99.01199671_363.221,5537415.47,54662317.41,12959753.98,14136134.85,54845844.97,41833875.37,48721493.4,34163367.57,5983572.3,18419581.43
99.01338624_116.929,77738369.31,51757293.79,4222773.33,57471654.14,8755925.51,4167434.7,59193827.44,54799342.31,57112278.19,78346226.54
99.01339994_46.3372,1966555.48,27822485.45,58397912.45,5669139.45,6166685.86,41771652.4,2263911.34,1139726.1,8639648.25,5494996.58
99.04377247_132.6145,25163.135,3216548.262,182148.361,3977733.617,443219.23,2336715.425,3626717.941,2742.4,57791.39,4698411.745
99.0437823_115.141,51529851.82,1826352.77,1725972.4,17651984.1,1912223.33,13653.26,188417.29,291737.948,2197383.69,18389738.71
99.08014819_134.618,1281788.11,111971.277,92852.4961,145868.52,1655.31,1149486.521,1642174.258,117827.362,647447.1637,1653148.222
99.08015254_42.5288,31244.5697,386679.4979,19965.653,1154183.17,124567.745,813776.2824,367394.6494,13224.34,13677.517,112629.27
99.51195318_46.0808,4947.8171,3254887.516,122646.624,1721937.29,1537698.359,1864638.34,57158.9921,21757.423,41399878.29,828943.138
99.51193918_116.1855,1591555.98,593327.612,32844449.59,18939155.13,35647586.87,211985.28,91373.286,16388122.2,28465624.55,14244445.5
99.51192814_25.9858,3647.22,59923.9151,668563.7225,1483273.813,23344131.8,11855238.44,15125.28,15917954.25,24354553.98,2394979.52
99.51191232_2.36813,5495488.121,727534.491,719711.647,18216764.18,2598582.82,898257.228,4914845.796,9872884.988,19415655.26,12315926.57
99.51192504_92.6255,9155174.19,82715.717,116427.77,16652499.73,1913534.6,81373.641,8237224.546,14865563.76,2679844.86,12394861.84
99.51193239_307.76,144987565.1,138112374.8,87644816.56,15782274.8,1116961,96645234.16,153829877.3,98317776.14,15884.9,1533593.2
99.53083375_319.061,37361612.88,31286699.16,28535833.58,29781366.12,2657649.8,29498991.3,339312.3,2639135.24,27723516,28422912.5
99.56518952_337.702,1819959.856,3639844.656,4291623.544,58967.236,4293247.59,1489228.839,385326.2884,279959.139,28473.98,3758779.189
100.0135493_47.328,524752.949,445258.4676,1297562.555,98827.3794,14758.827,132247.25,543867.518,1294787.562,123684.173,916564.5936
100.0136217_308.0185,853259.686,8398213.752,2277762.916,34248.614,555959.959,491836.995,939694.86,587587.879,185922.51,5132269.78
100.0753824_80.61835,1648193.728,13291133.27,3345459.979,4857818.75,4928915.28,171686.441,1421218.512,5434638.696,5515554.317,58389.96
100.075369_114.624,44224672.7,26716365,28127717.3,718923476.3,89957329.9,83686.9912,166723.196,287549761.7,68137855.7,758395196.2
100.0753811_43.9506,1541816.268,75264.5911,184857.89,423116.9,3248653.998,2463611.325,774611.8312,2116818.372,361768.488,374921.96
100.0930447_124.4995,3587432.816,53756243.7,6174646.251,6257235.275,715.94,528869.173,4266461.738,7651478.365,8276245.381,7412253.99
100.0929851_207.4935,2711357.242,33659721.7,22516521.2,2853284.682,315753.415,253984.644,66458785.1,256296.959,263496.111,278853.684
